"Name","Age_Ma","Diameter_km","Location","Reference","yearsElapsed"
"Kara-Kul",5,52,"Tajikistan","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.595e+09
"Karla",5,10,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.595e+09
"Steinheim",15,3.8,"Germany","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.585e+09
"Ries",15.1,24,"Germany","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4584900000
"Crawford",35,8.5,"South Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.565e+09
"Flaxman",35,10,"South Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.565e+09
"Chesapeake Bay",35.3,40,"Virginia, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4564700000
"Popigai",35.7,90,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4564300000
"Mistastin",36.4,28,"Newfoundland/Labrador, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4563600000
"Wanapitei",37.2,7.5,"Ontario, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4562800000
"Haughton",39,23,"Nunavut, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.561e+09
"Beyenchime-Salaatin",40,8,"Kazakhstan","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.56e+09
"Logancha",40,20,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.56e+09
"Logoisk",42.3,15,"Belarus","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4557700000
"Shunak",45,2.8,"Kazakhstan","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.555e+09
"Chiyli",46,5.5,"Kazakhstan","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.554e+09
"Ragozinka",46,9,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.554e+09
"Gusev",49,3,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.551e+09
"Kamensk",49,25,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.551e+09
"Goat Paddock",50,5.1,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.55e+09
"Montagnais",50.5,45,"Nova Scotia, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4549500000
"Jebel Waqf as Suwwan",56,5.5,"Jordan","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.544e+09
"Marquez",58,12.7,"Texas, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.542e+09
"Connolly Basin",60,9,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.54e+09
"Chicxulub",64.98,150,"Yucatan, Mexico","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4535020000
"Eagle Butte",65,10,"Alberta, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.535e+09
"Vista Alegre",65,9.5,"Brazil","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.535e+09
"Boltysh",65.17,24,"Ghana","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4534830000
"Chukcha",70,6,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.53e+09
"Ouarkziz",70,3.5,"Algeria","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.53e+09
"Tin Bider",70,6,"Algeria","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.53e+09
"Kara",70.3,65,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4529700000
"Manson",74.1,35,"Iowa, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4525900000
"Maple Creek",75,6,"Saskatchewan, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.525e+09
"Lappajarvi",76.2,23,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4523800000
"Zeleny Gai",80,3.5,"Ukraine","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.52e+09
"Wetumpka",81,6.5,"Alabama, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.519e+09
"Dellen",89,19,"Sweden","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.511e+09
"Steen River",91,25,"Alberta, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.509e+09
"Avak",95,12,"Alaska, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.505e+09
"Kentland",97,13,"Indiana, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.503e+09
"Deep Bay",99,13,"Saskatchewan, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.501e+09
"Santa Marta",100,10,"Brazil","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.5e+09
"Sierra Madera",100,13,"Texas, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.5e+09
"Mount Toondina",110,4,"South Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.49e+09
"Carswell",115,39,"Saskatchewan, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.485e+09
"B.P. Structure",120,2,"Arizona, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.48e+09
"Oasis",120,18,"Libya","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.48e+09
"Rotmistrovka",120,2.7,"Ukraine","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.48e+09
"Mien",121,9,"Sweden","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.479e+09
"Vargeao Dome",123,12,"Brazil","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.477e+09
"Tookoonoka",128,55,"Queensland, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.472e+09
"Tunnunik (Prince Albert)",130,25,"Victoria Island, Arctic Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.47e+09
"Mjolnir",142,40,"Norway","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.458e+09
"Gosses Bluff",142.5,22,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4457500000
"Morokweng",145,70,"South Africa","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.455e+09
"Liverpool",150,1.6,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.45e+09
"Tabun-Khara-Obo",150,1.3,"Mongolia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.45e+09
"Vepriai",160,8,"Lithuania","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.44e+09
"Zapadnaya",165,3.2,"Ukraine","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.435e+09
"Puchezh-Katunki",167,40,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.433e+09
"Obolon'",169,20,"Ukraine","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.431e+09
"Upheaval Dome",170,10,"Utah, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.43e+09
"Kgagodi",180,3.5,"Botswana","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.42e+09
"Cloud Creek",190,7,"Wyoming, USA","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.41e+09
"Viewfield",190,2.5,"Saskatchewan, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.41e+09
"Red Wing",200,9,"North Dakota, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.4e+09
"Riachao Ring",200,4.5,"Brazil","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.4e+09
"Wells Creek",200,12,"Tennessee, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.4e+09
"Rochechouart",201,23,"France","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.399e+09
"Manicouagan",214,85,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.386e+09
"Saint Martin",220,40,"Manitoba, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.38e+09
"Karikkoselka",230,1.5,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.37e+09
"Gow",250,5,"Saskatchewan, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.35e+09
"Kursk",250,6,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.35e+09
"Suvasvesi S",250,3.8,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.35e+09
"Araguainha",254.7,40,"Brazil","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4345300000
"Des Plaines",280,8,"Illinois, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.32e+09
"Ternovka",280,11,"Ukraine","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.32e+09
"Clearwater West",290,36,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.31e+09
"Dobele",290,4.5,"Latvia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.31e+09
"Decaturville",300,6,"Missouri, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.3e+09
"Ile Rouleau",300,4,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.3e+09
"Middlesboro",300,6,"Kentucky, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.3e+09
"Mishina Gora",300,2.5,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.3e+09
"Serra da Cangalha",300,12,"Brazil","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.3e+09
"Crooked Creek",320,7,"Missouri, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.28e+09
"Serpent Mound",320,8,"Ohio, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.28e+09
"Charlevoix",342,54,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.258e+09
"Aorounga",345,12.6,"Chad","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.255e+09
"Gweni-Fada",345,14,"Chad, Africa","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.255e+09
"West Hawk",351,2.44,"Manitoba, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.249e+09
"Flynn Creek",360,3.8,"Tennessee, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.24e+09
"Piccaninny",360,7,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.24e+09
"Woodleigh",364,40,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.236e+09
"Siljan",376.8,52,"Sweden","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4223200000
"Ilyinets",378,8.5,"Ukraine","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.222e+09
"Kaluga",380,15,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.22e+09
"Elbow",395,8,"Saskatchewan, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.205e+09
"La Moinerie",400,8,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.2e+09
"Nicholson",400,12.5,"Northwest Territories, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.2e+09
"Couture",430,8,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.17e+09
"Glasford",430,4,"Illinois, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.17e+09
"Pilot",445,6,"Northwest Territories, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.155e+09
"Calvin",450,8.5,"Michigan, USA","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.15e+09
"Slate Islands",450,30,"Ontario, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.15e+09
"Brent",453,3.8,"Ontario, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.147e+09
"Kardla",455,4,"Estonia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.145e+09
"Tvaren",455,2,"Sweden","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.145e+09
"Lockne",458,7.5,"Sweden","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.142e+09
"Malingen",458,1,"Sweden","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.142e+09
"Clearwater East",460,26,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.14e+09
"Ames",470,16,"Oklahoma, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.13e+09
"Granby",470,3,"Sweden","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.13e+09
"Gardnos",500,5,"Norway","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.1e+09
"Glover Bluff",500,8,"Wisconsin, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.1e+09
"Mizarai",500,5,"Lithuania","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.1e+09
"Newporte",500,3.2,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.1e+09
"Presqu'ile",500,24,"Quebec, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.1e+09
"Rock Elm",505,6,"Wisconsin, U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.095e+09
"Glikson",508,19,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.092e+09
"Lawn Hill",515,18,"Queensland, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.085e+09
"Ritland",520,2.7,"Norway","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.08e+09
"Neugrund",535,8,"Estonia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.065e+09
"Foelsche",545,6,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.055e+09
"Holleford",550,2.35,"Ontario, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.05e+09
"Kelly West",550,10,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.05e+09
"Saaksjarvi",560,6,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.04e+09
"Spider",570,13,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.03e+09
"Luizi",573,17,"Democratic Republic of Congo","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.027e+09
"Acraman",590,90,"South Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4.01e+09
"Beaverhead",600,60,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4e+09
"Saarijarvi",600,1.5,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4e+09
"Soderfjarden",600,6.6,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",4e+09
"Strangways",646,25,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.954e+09
"Janisjarvi",700,14,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.9e+09
"Iso-Naakkima",1000,3,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.6e+09
"Lumparn",1000,9,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.6e+09
"Suvasvesi N",1000,4,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.6e+09
"Santa Fe",1200,6,"New Mexico , U.S.A.","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.4e+09
"Goyder",1400,3,"Northern Territory","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.2e+09
"Matt Wilson",1402,7.5,"Northern Territory","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",3.198e+09
"Shoemaker (formerly Teague)",1630,30,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.97e+09
"Amelia Creek",1640,20,"Northern Territory, Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.96e+09
"Dhala",1700,11,"India","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.9e+09
"Keurusselka",1800,30,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.8e+09
"Paasselka",1800,10,"Finland","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.8e+09
"Sudbury",1850,130,"Ontario, Canada","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.75e+09
"Yarrabubba",2000,30,"Western Australia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.6e+09
"Vredefort",2023,160,"South Africa","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.577e+09
"Suavjarvi",2400,16,"Russia","http://www.passc.net/EarthImpactDatabase/New%20website_05-2018/Agesort.html",2.2e+09
