,monarchTitle,eventDescription,reignStartYear,reignStartMonth,reignStartDay,reignEndYear,reignEndMonth,reignEndDay,country,house,birthYear,birthMonth,birthDay,deathYear,deathMonth,deathDay,reference,era,houseColours
27,John,John Lackland,1199,5,27,1216,10,19,England,Anjou,1166,12,24,1216,10,19,"https://en.wikipedia.org/wiki/John,_King_of_England",CE,hotpink
28,Henry III,Henry of Winchester,1216,10,28,1272,11,16,England,Plantagenet,1207,10,1,1272,11,16,https://en.wikipedia.org/wiki/Henry_III_of_England,CE,yellow
29,Edward I,Edward Longshanks,1272,11,20,1307,7,7,England,Plantagenet,1239,6,17,1307,7,7,https://en.wikipedia.org/wiki/Edward_I_of_England,CE,yellow
30,Edward II,Edward of Caernarfon,1307,7,8,1327,1,20,England,Plantagenet,1284,4,25,1327,9,21,https://en.wikipedia.org/wiki/Edward_II_of_England,CE,yellow
31,Edward III,,1327,1,25,1377,6,21,England,Plantagenet,1312,11,13,1377,6,21,https://en.wikipedia.org/wiki/Edward_III_of_England,CE,yellow
32,Richard II,,1377,6,22,1399,8,29,England,Plantagenet,1367,1,6,1400,2,4,https://en.wikipedia.org/wiki/Richard_II_of_England,CE,yellow
33,Henry IV,Henry of Bolingbroke,1399,9,30,1413,3,20,England,Lancaster,1367,4,15,1413,3,20,https://en.wikipedia.org/wiki/Henry_IV_of_England,CE,orange
34,Henry V,,1413,3,21,1422,8,31,England,Lancaster,1386,9,16,1422,8,31,https://en.wikipedia.org/wiki/Henry_V_of_England,CE,orange
35,Henry VI,1st reign,1422,8,1,1461,3,4,England,Lancaster,1421,12,6,1471,5,21,https://en.wikipedia.org/wiki/Henry_VI_of_England,CE,orange
36,Edward IV,1st reign,1461,3,4,1470,10,3,England,York,1442,4,28,1483,4,9,https://en.wikipedia.org/wiki/Edward_IV_of_England,CE,brown
37,Henry VI,2nd reign,1470,10,3,1471,4,11,England,Lancaster,1421,12,6,1471,5,21,https://en.wikipedia.org/wiki/Henry_VI_of_England,CE,orange
38,Edward IV,2nd reign,1471,4,11,1483,4,9,England,York,1442,4,28,1483,4,9,https://en.wikipedia.org/wiki/Edward_IV_of_England,CE,brown
39,Edward V,Never crowned.,1483,4,9,1483,6,25,England,York,1470,11,2,1483,NA,NA,https://en.wikipedia.org/wiki/Edward_V_of_England,CE,brown
40,Richard III,,1483,6,26,1485,8,22,England,York,1452,10,2,1485,8,22,https://en.wikipedia.org/wiki/Richard_III_of_England,CE,brown
41,Henry VII,,1485,8,22,1509,4,21,England,Tudor,1457,1,28,1509,4,21,https://en.wikipedia.org/wiki/Henry_VII_of_England,CE,black
42,Henry VIII,,1509,4,22,1547,1,28,England,Tudor,1491,6,28,1547,1,28,https://en.wikipedia.org/wiki/Henry_VIII_of_England,CE,black
43,Edward VI,,1547,1,28,1553,7,6,England,Tudor,1537,10,12,1553,7,6,https://en.wikipedia.org/wiki/Edward_VI_of_England,CE,black
44,Jane,Title disputed,1553,7,10,1553,7,19,England,Tudor,1537,10,NA,1554,2,12,https://en.wikipedia.org/wiki/Lady_Jane_Grey,CE,black
45,Mary I,Bloody Mary,1553,7,19,1558,11,17,England,Tudor,1516,2,18,1558,11,17,https://en.wikipedia.org/wiki/Mary_I_of_England,CE,black
46,Elizabeth I,,1558,11,17,1603,3,24,England,Tudor,1533,9,7,1603,3,24,https://en.wikipedia.org/wiki/Elizabeth_I_of_England,CE,black
47,James I,,1603,3,24,1625,3,27,England and Scotland,Stuart,1566,6,19,1625,2,27,https://en.wikipedia.org/wiki/James_VI_and_I,CE,beige
48,Charles I,,1625,3,27,1649,1,30,England and Scotland,Stuart,1600,11,19,1649,1,30,https://en.wikipedia.org/wiki/Charles_I_of_England,CE,beige
49,Oliver Cromwell,Lord Protector,1653,12,16,1658,9,3,England and Scotland,Interregnum,1599,4,25,1658,9,3,https://en.wikipedia.org/wiki/Oliver_Cromwell,CE,white
50,Richard Cromwell,Lord Protector. Tumbledown Dick.,1658,9,3,1659,5,7,England and Scotland,Interregnum,1626,10,4,1712,7,12,https://en.wikipedia.org/wiki/Richard_Cromwell,CE,white
51,Charles II,,1660,5,29,1685,2,6,England and Scotland,Stuart,1630,5,29,1685,2,6,https://en.wikipedia.org/wiki/Charles_II_of_England,CE,beige
52,James II,,1685,2,6,1688,12,23,England and Scotland,Stuart,1633,10,14,1701,9,16,https://en.wikipedia.org/wiki/James_II_of_England,CE,beige
53,Mary II,,1689,2,13,1694,12,28,England and Scotland,Stuart,1662,4,30,1694,12,28,https://en.wikipedia.org/wiki/Mary_II_of_England,CE,beige
54,William III,William of Orange,1689,2,13,1702,3,8,England and Scotland,Stuart,1650,11,4,1702,3,8,https://en.wikipedia.org/wiki/William_III_of_England,CE,beige
55,Anne,United the kingdoms of England and Scotland in the Act of Union 1707.,1702,3,8,1707,5,1,England and Scotland,Stuart,1665,2,6,1714,8,1,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain",CE,beige
56,Anne,United the kingdoms of England and Scotland in the Act of Union 1707.,1707,5,1,1714,8,1,Great Britain,Stuart,1665,2,6,1714,8,1,"https://en.wikipedia.org/wiki/Anne,_Queen_of_Great_Britain",CE,beige
57,George I,George Louis,1714,8,1,1727,6,11,Great Britain,Hanover,1660,5,28,1727,6,11,https://en.wikipedia.org/wiki/George_I_of_Great_Britain,CE,firebrick1
58,George II,George Augustus,1727,6,11,1760,10,25,Great Britain,Hanover,1683,10,30,1760,10,25,https://en.wikipedia.org/wiki/George_II_of_Great_Britain,CE,firebrick1
59,George III,George William Frederick,1760,10,25,1820,1,29,Great Britain,Hanover,1738,6,4,1820,1,29,https://en.wikipedia.org/wiki/George_III_of_the_United_Kingdom,CE,firebrick1
60,George IV,George Augustus Frederick,1820,1,29,1830,6,26,Great Britain,Hanover,1762,8,12,1830,6,26,https://en.wikipedia.org/wiki/George_IV_of_the_United_Kingdom,CE,firebrick1
61,William IV,William Henry,1830,6,26,1837,6,20,Great Britain,Hanover,1765,8,21,1837,6,20,https://en.wikipedia.org/wiki/William_IV_of_the_United_Kingdom,CE,firebrick1
62,Victoria,Alexandrina Victoria,1837,6,20,1901,1,22,Great Britain,Hanover,1819,5,24,1901,1,22,https://en.wikipedia.org/wiki/Queen_Victoria,CE,firebrick1
63,Edward VII,Albert Edward,1901,1,22,1910,5,6,Great Britain,Saxe-Coburg-Gotha,1814,11,9,1910,5,6,https://en.wikipedia.org/wiki/Edward_VII,CE,lawngreen
64,George V,George Frederick Ernest Albert,1910,5,6,1936,1,20,Great Britain,Saxe-Coburg-Gotha,1856,6,3,1936,1,20,https://en.wikipedia.org/wiki/George_V,CE,lawngreen
65,Edward VIII,Edward Albert Christian George Andrew Patrick David,1936,1,20,1936,12,11,Great Britain,Windsor,1894,6,23,1972,5,28,https://en.wikipedia.org/wiki/Edward_VIII,CE,violet
66,George VI,Albert Frederick Arthur George,1936,12,11,1952,2,6,Great Britain,Windsor,1895,12,14,1952,2,6,https://en.wikipedia.org/wiki/George_VI,CE,violet
67,Elizabeth II,Elizabeth Alexandra Mary,1952,2,6,2020,1,8,Great Britain,Windsor,1926,4,21,2020,1,29,https://en.wikipedia.org/wiki/Elizabeth_II,CE,violet
